h3_index,classification
826f77fffffffff,ocean
829987fffffffff,ocean
82665ffffffffff,land
826717fffffffff,ocean
82db2ffffffffff,ocean
829857fffffffff,ocean
824d47fffffffff,ocean
821c27fffffffff,ocean
827e17fffffffff,ocean
828647fffffffff,ocean
82d887fffffffff,ocean
821ce7fffffffff,ocean
82138ffffffffff,land
82d08ffffffffff,ocean
820247fffffffff,coast
8252f7fffffffff,coast
82c9a7fffffffff,ocean
82a397fffffffff,ocean
82d30ffffffffff,ocean
826727fffffffff,coast
82079ffffffffff,land
826c8ffffffffff,ocean
82e957fffffffff,ocean
82be97fffffffff,ocean
820e5ffffffffff,land
829217fffffffff,ocean
82d857fffffffff,ocean
821f47fffffffff,land
824587fffffffff,coast
82df5ffffffffff,coast
82baeffffffffff,ocean
82ca37fffffffff,ocean
824027fffffffff,land
82cb8ffffffffff,ocean
8286e7fffffffff,ocean
82406ffffffffff,land
82382ffffffffff,coast
82a09ffffffffff,ocean
8286f7fffffffff,ocean
82f197fffffffff,land
820ab7fffffffff,land
820217fffffffff,coast
82348ffffffffff,ocean
82455ffffffffff,ocean
820a47fffffffff,land
828e67fffffffff,coast
820d9ffffffffff,coast
8252e7fffffffff,land
8235b7fffffffff,ocean
824d9ffffffffff,ocean
82d82ffffffffff,ocean
82482ffffffffff,coast
82c617fffffffff,ocean
829e97fffffffff,ocean
820027fffffffff,coast
826d27fffffffff,coast
82ed97fffffffff,ocean
825e5ffffffffff,coast
827b5ffffffffff,coast
829c87fffffffff,coast
82cf6ffffffffff,ocean
8206effffffffff,coast
82b7a7fffffffff,ocean
82dd5ffffffffff,ocean
8264cffffffffff,ocean
823607fffffffff,ocean
82c137fffffffff,ocean
825aa7fffffffff,ocean
822c8ffffffffff,land
82b41ffffffffff,ocean
82ec37fffffffff,coast
825657fffffffff,ocean
82a2effffffffff,ocean
823957fffffffff,coast
82ab1ffffffffff,ocean
823147fffffffff,coast
824957fffffffff,ocean
820697fffffffff,coast
82c19ffffffffff,ocean
82ae17fffffffff,ocean
8298e7fffffffff,ocean
829357fffffffff,ocean
829ecffffffffff,ocean
829007fffffffff,ocean
82b18ffffffffff,ocean
826b97fffffffff,land
82275ffffffffff,land
827a87fffffffff,coast
82bc27fffffffff,ocean
829d9ffffffffff,coast
822967fffffffff,ocean
82ac87fffffffff,land
821d6ffffffffff,ocean
825ad7fffffffff,ocean
82240ffffffffff,land
82a0f7fffffffff,ocean
827757fffffffff,ocean
82c32ffffffffff,coast
823357fffffffff,ocean
825f87fffffffff,ocean
827a6ffffffffff,land
82354ffffffffff,ocean
827547fffffffff,ocean
82ac77fffffffff,ocean
827047fffffffff,ocean
826127fffffffff,ocean
82bb9ffffffffff,ocean
82df87fffffffff,coast
8230effffffffff,coast
828e27fffffffff,coast
824897fffffffff,coast
820acffffffffff,land
8260dffffffffff,ocean
8230a7fffffffff,coast
82a36ffffffffff,ocean
82e21ffffffffff,ocean
82d147fffffffff,ocean
82ec57fffffffff,land
821297fffffffff,coast
82f24ffffffffff,ocean
82098ffffffffff,coast
8267b7fffffffff,coast
82634ffffffffff,ocean
82a187fffffffff,ocean
824a77fffffffff,ocean
827597fffffffff,ocean
8258cffffffffff,land
826a87fffffffff,land
82988ffffffffff,ocean
829e87fffffffff,ocean
82cc47fffffffff,ocean
827b4ffffffffff,coast
823adffffffffff,ocean
82458ffffffffff,coast
824e0ffffffffff,ocean
822af7fffffffff,coast
82b2a7fffffffff,ocean
82a00ffffffffff,ocean
82c347fffffffff,land
82121ffffffffff,land
82b157fffffffff,ocean
82522ffffffffff,land
827f6ffffffffff,ocean
8258affffffffff,land
82b98ffffffffff,land
824f0ffffffffff,ocean
8282dffffffffff,coast
823a4ffffffffff,ocean
822637fffffffff,land
824cc7fffffffff,coast
820cc7fffffffff,coast
8224c7fffffffff,land
82bf87fffffffff,ocean
828f8ffffffffff,ocean
828757fffffffff,ocean
823e1ffffffffff,land
821667fffffffff,coast
82a607fffffffff,coast
82401ffffffffff,land
8290effffffffff,ocean
82bb07fffffffff,coast
82589ffffffffff,coast
822947fffffffff,ocean
820d77fffffffff,coast
82b52ffffffffff,ocean
826e37fffffffff,ocean
823e2ffffffffff,coast
823ac7fffffffff,ocean
825b97fffffffff,ocean
82a977fffffffff,land
82ef9ffffffffff,land
82549ffffffffff,ocean
822127fffffffff,land
826387fffffffff,coast
823517fffffffff,ocean
824baffffffffff,coast
82d94ffffffffff,ocean
82e30ffffffffff,ocean
82b587fffffffff,ocean
82ea87fffffffff,coast
82f09ffffffffff,coast
82cd17fffffffff,ocean
829b9ffffffffff,ocean
825547fffffffff,land
821e1ffffffffff,land
82db37fffffffff,ocean
82e387fffffffff,ocean
8206a7fffffffff,land
82909ffffffffff,ocean
82f0c7fffffffff,land
82d2d7fffffffff,ocean
82b3a7fffffffff,ocean
82264ffffffffff,land
82c09ffffffffff,ocean
82ea07fffffffff,ocean
826b17fffffffff,land
82cc77fffffffff,ocean
827eeffffffffff,ocean
82b407fffffffff,ocean
82caeffffffffff,ocean
8291affffffffff,ocean
8239affffffffff,coast
827d07fffffffff,ocean
82f2c7fffffffff,land
828e17fffffffff,ocean
82d277fffffffff,ocean
822ccffffffffff,land
82e017fffffffff,ocean
82630ffffffffff,ocean
826777fffffffff,ocean
823d47fffffffff,land
822e77fffffffff,coast
8238c7fffffffff,land
82dd27fffffffff,ocean
82c557fffffffff,ocean
82e4affffffffff,ocean
82c28ffffffffff,ocean
82046ffffffffff,ocean
8239b7fffffffff,ocean
828f6ffffffffff,land
821507fffffffff,land
82a7affffffffff,land
821b17fffffffff,ocean
821d17fffffffff,ocean
82d61ffffffffff,ocean
82c157fffffffff,ocean
821257fffffffff,land
8284e7fffffffff,ocean
828587fffffffff,ocean
821e9ffffffffff,coast
82bc9ffffffffff,coast
82e0effffffffff,ocean
82689ffffffffff,coast
82e047fffffffff,ocean
82855ffffffffff,ocean
826957fffffffff,ocean
8240affffffffff,land
8232c7fffffffff,ocean
823d77fffffffff,land
8240effffffffff,land
822477fffffffff,land
825f97fffffffff,ocean
82366ffffffffff,ocean
828777fffffffff,ocean
820d1ffffffffff,coast
826ba7fffffffff,land
82bf1ffffffffff,ocean
82386ffffffffff,coast
828a07fffffffff,land
821497fffffffff,land
82bf0ffffffffff,ocean
822467fffffffff,land
82a117fffffffff,ocean
829797fffffffff,coast
82aa6ffffffffff,ocean
8206dffffffffff,coast
825007fffffffff,ocean
828637fffffffff,ocean
823647fffffffff,ocean
82c38ffffffffff,ocean
82ca0ffffffffff,ocean
82ce5ffffffffff,ocean
828e1ffffffffff,ocean
824d6ffffffffff,ocean
82ae97fffffffff,ocean
824d2ffffffffff,ocean
828ec7fffffffff,ocean
824497fffffffff,ocean
82184ffffffffff,coast
827c57fffffffff,ocean
8254f7fffffffff,coast
8294a7fffffffff,ocean
82ba67fffffffff,ocean
82d4cffffffffff,ocean
82daa7fffffffff,ocean
825caffffffffff,ocean
825a4ffffffffff,ocean
826817fffffffff,coast
8254cffffffffff,coast
825da7fffffffff,ocean
82338ffffffffff,ocean
82512ffffffffff,ocean
82b257fffffffff,land
82afb7fffffffff,ocean
82994ffffffffff,ocean
8260effffffffff,ocean
82b677fffffffff,ocean
821217fffffffff,land
826927fffffffff,ocean
82c35ffffffffff,land
82dbaffffffffff,ocean
823cdffffffffff,coast
822b97fffffffff,land
822d07fffffffff,coast
82b0e7fffffffff,ocean
82198ffffffffff,ocean
826917fffffffff,coast
82048ffffffffff,land
