h3_index,classification
82c317fffffffff,ocean
82e687fffffffff,ocean
82c647fffffffff,ocean
825baffffffffff,ocean
82a4f7fffffffff,ocean
827927fffffffff,ocean
82a8effffffffff,land
82a76ffffffffff,ocean
825a87fffffffff,ocean
82542ffffffffff,land
82ad5ffffffffff,ocean
82640ffffffffff,coast
8206f7fffffffff,coast
8244dffffffffff,land
823e97fffffffff,land
8226f7fffffffff,land
82e62ffffffffff,ocean
82861ffffffffff,ocean
826aaffffffffff,land
8270b7fffffffff,ocean
8266e7fffffffff,land
82769ffffffffff,coast
822577fffffffff,land
8270affffffffff,ocean
824adffffffffff,ocean
826027fffffffff,coast
82c05ffffffffff,ocean
82194ffffffffff,coast
82d24ffffffffff,ocean
820787fffffffff,coast
82d5a7fffffffff,ocean
82eedffffffffff,ocean
829137fffffffff,ocean
822827fffffffff,ocean
82842ffffffffff,ocean
829a17fffffffff,coast
82ae47fffffffff,ocean
827237fffffffff,ocean
825687fffffffff,ocean
822697fffffffff,land
82332ffffffffff,ocean
8224d7fffffffff,land
824457fffffffff,coast
82f01ffffffffff,land
82144ffffffffff,coast
82d90ffffffffff,ocean
823497fffffffff,ocean
828747fffffffff,ocean
82389ffffffffff,land
82b497fffffffff,ocean
82d977fffffffff,ocean
82d72ffffffffff,ocean
8213a7fffffffff,land
82b717fffffffff,ocean
820297fffffffff,ocean
82e5a7fffffffff,ocean
82b8b7fffffffff,land
82de97fffffffff,coast
827677fffffffff,ocean
82cf8ffffffffff,coast
8285affffffffff,ocean
82f0d7fffffffff,coast
829527fffffffff,coast
82e15ffffffffff,ocean
824b67fffffffff,coast
8290d7fffffffff,ocean
82aa67fffffffff,ocean
8240d7fffffffff,land
8274e7fffffffff,ocean
82486ffffffffff,ocean
829d2ffffffffff,coast
82de8ffffffffff,ocean
828f77fffffffff,land
823b2ffffffffff,ocean
8290c7fffffffff,ocean
82681ffffffffff,coast
8275a7fffffffff,land
827a0ffffffffff,coast
8216a7fffffffff,coast
821e0ffffffffff,land
827a47fffffffff,land
823fb7fffffffff,land
821d0ffffffffff,ocean
82781ffffffffff,ocean
82de47fffffffff,ocean
82d037fffffffff,ocean
82b547fffffffff,ocean
82c75ffffffffff,ocean
82d247fffffffff,ocean
82dae7fffffffff,ocean
822787fffffffff,land
82cfaffffffffff,coast
82d2affffffffff,ocean
82ee9ffffffffff,ocean
82ae57fffffffff,ocean
8238e7fffffffff,land
827c27fffffffff,ocean
82949ffffffffff,land
82af07fffffffff,ocean
82ee77fffffffff,ocean
82d827fffffffff,ocean
82ce77fffffffff,ocean
82b867fffffffff,coast
82558ffffffffff,coast
82db4ffffffffff,ocean
82e467fffffffff,coast
82176ffffffffff,coast
829e57fffffffff,ocean
82db6ffffffffff,ocean
820447fffffffff,coast
824217fffffffff,coast
822777fffffffff,land
82966ffffffffff,land
82f037fffffffff,land
823967fffffffff,coast
82b437fffffffff,ocean
8272cffffffffff,coast
82c067fffffffff,ocean
820c57fffffffff,coast
821417fffffffff,land
825137fffffffff,ocean
826daffffffffff,ocean
82814ffffffffff,land
8274a7fffffffff,ocean
82c8b7fffffffff,ocean
82e50ffffffffff,coast
82aab7fffffffff,ocean
8230affffffffff,coast
822927fffffffff,ocean
825727fffffffff,ocean
82e517fffffffff,ocean
8220affffffffff,land
825b47fffffffff,ocean
82610ffffffffff,ocean
8283b7fffffffff,land
823597fffffffff,ocean
824927fffffffff,ocean
82b92ffffffffff,ocean
82119ffffffffff,land
827ee7fffffffff,ocean
8200cffffffffff,ocean
8279a7fffffffff,ocean
826aa7fffffffff,land
826caffffffffff,ocean
822d6ffffffffff,land
82091ffffffffff,ocean
823d1ffffffffff,land
8212affffffffff,land
82d45ffffffffff,ocean
827887fffffffff,ocean
824f2ffffffffff,ocean
82a557fffffffff,ocean
820687fffffffff,coast
82c15ffffffffff,ocean
82c6e7fffffffff,ocean
821147fffffffff,coast
8284cffffffffff,ocean
82aad7fffffffff,ocean
82ab47fffffffff,ocean
82ed2ffffffffff,ocean
825eaffffffffff,ocean
824db7fffffffff,ocean
82024ffffffffff,coast
828ea7fffffffff,ocean
823457fffffffff,ocean
82ad37fffffffff,coast
820ed7fffffffff,land
825247fffffffff,land
82e197fffffffff,ocean
827c4ffffffffff,ocean
828e4ffffffffff,coast
821427fffffffff,land
825617fffffffff,ocean
8240c7fffffffff,land
824a5ffffffffff,ocean
82d59ffffffffff,ocean
825b37fffffffff,ocean
825167fffffffff,ocean
822397fffffffff,ocean
82cb17fffffffff,ocean
8204dffffffffff,land
824167fffffffff,coast
82815ffffffffff,land
82a437fffffffff,ocean
829567fffffffff,coast
82060ffffffffff,coast
821a57fffffffff,ocean
82efb7fffffffff,land
824547fffffffff,ocean
82e74ffffffffff,coast
82eb8ffffffffff,ocean
82b0cffffffffff,ocean
8214e7fffffffff,coast
821017fffffffff,land
824ea7fffffffff,ocean
82731ffffffffff,coast
82d077fffffffff,ocean
82eb2ffffffffff,ocean
8264b7fffffffff,land
82e247fffffffff,ocean
82609ffffffffff,land
8218dffffffffff,ocean
82030ffffffffff,ocean
82a0cffffffffff,ocean
82e92ffffffffff,ocean
825c07fffffffff,ocean
82d70ffffffffff,ocean
827c87fffffffff,ocean
82b31ffffffffff,coast
821a67fffffffff,ocean
82a4effffffffff,ocean
82849ffffffffff,ocean
82df17fffffffff,coast
8264dffffffffff,ocean
829237fffffffff,ocean
82094ffffffffff,coast
82ac47fffffffff,ocean
829e4ffffffffff,ocean
827b27fffffffff,ocean
82891ffffffffff,ocean
825177fffffffff,ocean
82955ffffffffff,coast
823c9ffffffffff,coast
823617fffffffff,ocean
820e2ffffffffff,coast
82ef6ffffffffff,coast
827437fffffffff,coast
829317fffffffff,ocean
823427fffffffff,coast
823c6ffffffffff,land
829107fffffffff,ocean
826f07fffffffff,ocean
825207fffffffff,land
82964ffffffffff,land
82a26ffffffffff,ocean
82a74ffffffffff,ocean
82d46ffffffffff,ocean
828147fffffffff,land
82ead7fffffffff,coast
82446ffffffffff,coast
823a87fffffffff,ocean
82b907fffffffff,ocean
82c7b7fffffffff,ocean
827f5ffffffffff,ocean
82644ffffffffff,ocean
82a0b7fffffffff,ocean
82cd07fffffffff,ocean
828b2ffffffffff,land
828cd7fffffffff,coast
82b8affffffffff,land
8200b7fffffffff,coast
82980ffffffffff,ocean
824e4ffffffffff,ocean
822b1ffffffffff,coast
828a8ffffffffff,land
82d637fffffffff,ocean
82a567fffffffff,ocean
823867fffffffff,coast
82c55ffffffffff,ocean
825957fffffffff,land
82d407fffffffff,ocean
82bb5ffffffffff,coast
82d68ffffffffff,ocean
822d77fffffffff,coast
82b7b7fffffffff,ocean
826d5ffffffffff,ocean
824ce7fffffffff,ocean
826a6ffffffffff,land
82009ffffffffff,coast
82ecaffffffffff,coast
82281ffffffffff,coast
82816ffffffffff,land
82f117fffffffff,land
82d257fffffffff,ocean
82ef77fffffffff,coast
82414ffffffffff,land
82ef27fffffffff,coast
82ab5ffffffffff,ocean
82ac37fffffffff,coast
820b6ffffffffff,coast
823507fffffffff,ocean
82e0a7fffffffff,ocean
823a37fffffffff,ocean
82d78ffffffffff,ocean
82ad97fffffffff,land
82050ffffffffff,ocean
82bf2ffffffffff,ocean
8296f7fffffffff,land
82a22ffffffffff,ocean
825907fffffffff,land
82c6cffffffffff,ocean
8225b7fffffffff,land
82c02ffffffffff,ocean
82661ffffffffff,coast
82a50ffffffffff,ocean
823cd7fffffffff,coast
82e51ffffffffff,ocean
825cdffffffffff,ocean
82aa37fffffffff,ocean
82920ffffffffff,ocean
8288c7fffffffff,ocean
823367fffffffff,ocean
8268c7fffffffff,coast
82821ffffffffff,coast
820af7fffffffff,land
8201affffffffff,ocean
82928ffffffffff,ocean
826ce7fffffffff,ocean
820cd7fffffffff,ocean
824b47fffffffff,ocean
82654ffffffffff,ocean
82055ffffffffff,ocean
82e20ffffffffff,ocean
82cc9ffffffffff,ocean
82d4effffffffff,ocean
829437fffffffff,coast
825a47fffffffff,ocean
826eaffffffffff,ocean
821387fffffffff,land
82612ffffffffff,ocean
82775ffffffffff,ocean
826af7fffffffff,land
824857fffffffff,coast
82751ffffffffff,coast
821b47fffffffff,ocean
826597fffffffff,land
82924ffffffffff,ocean
82daeffffffffff,ocean
821f1ffffffffff,land
82c827fffffffff,ocean
82e887fffffffff,coast
82a967fffffffff,land
82b51ffffffffff,ocean
82985ffffffffff,ocean
8242c7fffffffff,coast
82b0f7fffffffff,ocean
82c8affffffffff,ocean
82022ffffffffff,coast
825f1ffffffffff,coast
82d817fffffffff,ocean
824cb7fffffffff,ocean
823a77fffffffff,ocean
82a527fffffffff,ocean
82698ffffffffff,ocean
824887fffffffff,land
82210ffffffffff,land
825a37fffffffff,ocean
82eb4ffffffffff,ocean
82eb47fffffffff,ocean
82be07fffffffff,ocean
8208c7fffffffff,coast
825f0ffffffffff,coast
82a4d7fffffffff,ocean
828727fffffffff,ocean
825397fffffffff,land
826b47fffffffff,land
82b0affffffffff,ocean
822adffffffffff,ocean
82c81ffffffffff,ocean
82d4affffffffff,ocean
82695ffffffffff,coast
8290b7fffffffff,ocean
82a387fffffffff,ocean
826b67fffffffff,land
82548ffffffffff,ocean
826cc7fffffffff,ocean
82b117fffffffff,ocean
82504ffffffffff,ocean
82684ffffffffff,coast
821c1ffffffffff,ocean
825cf7fffffffff,ocean
82599ffffffffff,land
828097fffffffff,ocean
82771ffffffffff,ocean
8210d7fffffffff,land
826fb7fffffffff,ocean
82bac7fffffffff,coast
82b367fffffffff,land
821e87fffffffff,coast
829d27fffffffff,coast
825b87fffffffff,coast
82656ffffffffff,ocean
822db7fffffffff,coast
825937fffffffff,land
82a057fffffffff,ocean
824257fffffffff,land
826e6ffffffffff,ocean
828c37fffffffff,coast
82a78ffffffffff,land
8215b7fffffffff,land
826ab7fffffffff,land
82509ffffffffff,ocean
824d27fffffffff,ocean
82bb77fffffffff,coast
823ea7fffffffff,land
82e98ffffffffff,ocean
82b2cffffffffff,land
82da77fffffffff,ocean
820a07fffffffff,land
823197fffffffff,land
826097fffffffff,land
82f20ffffffffff,land
82242ffffffffff,land
824b37fffffffff,coast
82c587fffffffff,ocean
828607fffffffff,ocean
82f2e7fffffffff,land
8214cffffffffff,coast
822e17fffffffff,coast
82b387fffffffff,ocean
826c1ffffffffff,ocean
822a2ffffffffff,ocean
824947fffffffff,ocean
821817fffffffff,ocean
8254d7fffffffff,ocean
82bd87fffffffff,ocean
828b47fffffffff,land
8278cffffffffff,ocean
8295b7fffffffff,ocean
820e1ffffffffff,coast
82aa17fffffffff,ocean
8266cffffffffff,land
827307fffffffff,ocean
822ee7fffffffff,coast
825677fffffffff,ocean
82a887fffffffff,coast
821207fffffffff,land
82f32ffffffffff,ocean
821daffffffffff,ocean
82f377fffffffff,ocean
82b05ffffffffff,ocean
82b2f7fffffffff,ocean
824b1ffffffffff,ocean
82caa7fffffffff,ocean
824567fffffffff,ocean
828797fffffffff,ocean
82ef4ffffffffff,coast
823d8ffffffffff,land
82be47fffffffff,land
82e55ffffffffff,coast
8212c7fffffffff,land
821edffffffffff,coast
82b9b7fffffffff,land
82eb0ffffffffff,ocean
8292effffffffff,ocean
82b82ffffffffff,coast
82b6effffffffff,ocean
82d4a7fffffffff,ocean
82585ffffffffff,land
826cb7fffffffff,ocean
821697fffffffff,ocean
821d97fffffffff,ocean
829577fffffffff,coast
821117fffffffff,land
825457fffffffff,land
82bea7fffffffff,ocean
827507fffffffff,land
8256e7fffffffff,ocean
822d57fffffffff,coast
822b2ffffffffff,coast
8274f7fffffffff,ocean
8295affffffffff,coast
8246f7fffffffff,ocean
82eacffffffffff,coast
8257a7fffffffff,ocean
82db47fffffffff,ocean
82d56ffffffffff,ocean
82a697fffffffff,ocean
82130ffffffffff,land
82bd2ffffffffff,ocean
82aceffffffffff,ocean
8288f7fffffffff,ocean
82002ffffffffff,coast
82ccdffffffffff,ocean
82c297fffffffff,ocean
829e17fffffffff,coast
82eeb7fffffffff,coast
827577fffffffff,coast
82b8cffffffffff,land
8260affffffffff,coast
8292affffffffff,ocean
822b07fffffffff,coast
82471ffffffffff,ocean
82984ffffffffff,ocean
8252d7fffffffff,coast
821e27fffffffff,land
820197fffffffff,coast
826f0ffffffffff,ocean
821617fffffffff,coast
820f27fffffffff,ocean
82db07fffffffff,coast
82ece7fffffffff,land
82c537fffffffff,ocean
82e34ffffffffff,ocean
82221ffffffffff,ocean
82e477fffffffff,ocean
82372ffffffffff,ocean
824b0ffffffffff,coast
822a77fffffffff,ocean
8298b7fffffffff,ocean
82e427fffffffff,ocean
829557fffffffff,coast
821ccffffffffff,ocean
8257affffffffff,ocean
82aa97fffffffff,ocean
8204f7fffffffff,coast
82436ffffffffff,land
82a957fffffffff,land
82750ffffffffff,coast
82c95ffffffffff,ocean
82ca67fffffffff,ocean
824e77fffffffff,ocean
828597fffffffff,ocean
82444ffffffffff,land
82dc6ffffffffff,ocean
82db77fffffffff,ocean
8230e7fffffffff,coast
82d027fffffffff,ocean
82e087fffffffff,ocean
828f1ffffffffff,ocean
826217fffffffff,ocean
82a467fffffffff,ocean
820e57fffffffff,land
824b57fffffffff,coast
82dd07fffffffff,ocean
8252b7fffffffff,land
825e77fffffffff,coast
829f57fffffffff,coast
8218c7fffffffff,ocean
82e6effffffffff,ocean
828d97fffffffff,coast
821a5ffffffffff,ocean
821f9ffffffffff,coast
823137fffffffff,land
8231b7fffffffff,land
82569ffffffffff,ocean
82e557fffffffff,coast
8224b7fffffffff,land
82df57fffffffff,ocean
820a87fffffffff,land
822a4ffffffffff,ocean
824847fffffffff,coast
8269a7fffffffff,ocean
82e2f7fffffffff,ocean
82324ffffffffff,ocean
8262dffffffffff,ocean
82645ffffffffff,ocean
828a87fffffffff,land
82e26ffffffffff,ocean
828aaffffffffff,land
82298ffffffffff,land
828f0ffffffffff,coast
824a17fffffffff,ocean
827b07fffffffff,ocean
8292b7fffffffff,ocean
82acb7fffffffff,land
828c87fffffffff,coast
82a0effffffffff,ocean
82ca5ffffffffff,ocean
8282d7fffffffff,coast
829d4ffffffffff,land
82cd57fffffffff,ocean
82d96ffffffffff,ocean
821047fffffffff,land
82c907fffffffff,ocean
82bb87fffffffff,ocean
82c2b7fffffffff,ocean
825e6ffffffffff,ocean
829377fffffffff,ocean
829ccffffffffff,coast
829ac7fffffffff,ocean
823eeffffffffff,land
823f57fffffffff,coast
827397fffffffff,coast
821acffffffffff,ocean
820d47fffffffff,land
829d77fffffffff,land
82e8c7fffffffff,ocean
824a67fffffffff,ocean
829d17fffffffff,ocean
822117fffffffff,land
82cacffffffffff,ocean
820587fffffffff,land
82dd77fffffffff,ocean
8229a7fffffffff,coast
8210cffffffffff,land
82bc77fffffffff,coast
82c31ffffffffff,ocean
828b5ffffffffff,land
827937fffffffff,ocean
820f0ffffffffff,coast
82cbaffffffffff,ocean
82b95ffffffffff,coast
82149ffffffffff,land
82c727fffffffff,ocean
82c30ffffffffff,coast
82d18ffffffffff,ocean
823b07fffffffff,ocean
824d1ffffffffff,ocean
82a51ffffffffff,ocean
826457fffffffff,ocean
825b77fffffffff,ocean
82025ffffffffff,coast
827e87fffffffff,ocean
82d547fffffffff,ocean
8209a7fffffffff,coast
8205affffffffff,coast
820627fffffffff,coast
825a67fffffffff,ocean
820f07fffffffff,coast
82054ffffffffff,coast
8202a7fffffffff,ocean
826cd7fffffffff,ocean
82bd0ffffffffff,ocean
82d6dffffffffff,ocean
828f17fffffffff,ocean
82becffffffffff,land
8256f7fffffffff,ocean
8222f7fffffffff,ocean
82451ffffffffff,coast
82911ffffffffff,ocean
829b07fffffffff,ocean
825c9ffffffffff,ocean
824a1ffffffffff,ocean
829907fffffffff,ocean
828e47fffffffff,coast
82ba17fffffffff,ocean
82301ffffffffff,coast
822b47fffffffff,ocean
825b6ffffffffff,ocean
821f37fffffffff,coast
82416ffffffffff,coast
823e27fffffffff,coast
82c407fffffffff,ocean
82c2cffffffffff,land
824f17fffffffff,ocean
829497fffffffff,coast
82851ffffffffff,ocean
82dcd7fffffffff,ocean
82da67fffffffff,ocean
82e4cffffffffff,ocean
8248a7fffffffff,land
820b57fffffffff,coast
82eecffffffffff,ocean
8292d7fffffffff,ocean
8293affffffffff,ocean
8210b7fffffffff,land
82378ffffffffff,ocean
820b8ffffffffff,land
828e9ffffffffff,ocean
82d42ffffffffff,ocean
82cc37fffffffff,ocean
8282e7fffffffff,coast
828697fffffffff,ocean
823f5ffffffffff,coast
82adaffffffffff,coast
8244b7fffffffff,coast
82ed37fffffffff,ocean
8264d7fffffffff,coast
82ef0ffffffffff,coast
82496ffffffffff,ocean
825377fffffffff,land
82e027fffffffff,ocean
829c4ffffffffff,coast
82c5b7fffffffff,ocean
8208e7fffffffff,land
82f327fffffffff,ocean
828347fffffffff,ocean
82435ffffffffff,land
827e2ffffffffff,ocean
8264c7fffffffff,ocean
82f2d7fffffffff,land
826e97fffffffff,ocean
82bc47fffffffff,coast
829a87fffffffff,ocean
825ec7fffffffff,ocean
822867fffffffff,ocean
820437fffffffff,coast
82e0e7fffffffff,ocean
820267fffffffff,coast
823917fffffffff,coast
82508ffffffffff,ocean
82bacffffffffff,ocean
822da7fffffffff,coast
82de87fffffffff,coast
82eb77fffffffff,ocean
82391ffffffffff,coast
820d97fffffffff,coast
82dceffffffffff,ocean
82b417fffffffff,ocean
824b8ffffffffff,ocean
826ef7fffffffff,ocean
82f2b7fffffffff,coast
821cdffffffffff,ocean
82464ffffffffff,coast
823267fffffffff,ocean
82029ffffffffff,coast
820ba7fffffffff,land
82590ffffffffff,land
823db7fffffffff,land
823017fffffffff,coast
827f4ffffffffff,ocean
827657fffffffff,ocean
82551ffffffffff,land
821a1ffffffffff,ocean
82ae2ffffffffff,ocean
8269affffffffff,ocean
823ecffffffffff,land
82a34ffffffffff,ocean
824057fffffffff,land
822e47fffffffff,coast
825f4ffffffffff,coast
82c127fffffffff,ocean
828107fffffffff,land
82b2affffffffff,ocean
820407fffffffff,coast
82c79ffffffffff,ocean
82370ffffffffff,ocean
8240f7fffffffff,land
821b0ffffffffff,ocean
82112ffffffffff,land
82180ffffffffff,coast
820f6ffffffffff,ocean
824c07fffffffff,ocean
8248effffffffff,land
82685ffffffffff,coast
82da0ffffffffff,ocean
823a0ffffffffff,ocean
822287fffffffff,ocean
826077fffffffff,ocean
8237affffffffff,ocean
82b727fffffffff,ocean
8268affffffffff,coast
827427fffffffff,ocean
8205a7fffffffff,coast
82b7affffffffff,ocean
82069ffffffffff,ocean
828467fffffffff,ocean
82501ffffffffff,ocean
826e9ffffffffff,ocean
821ad7fffffffff,ocean
82696ffffffffff,coast
825c8ffffffffff,ocean
82a327fffffffff,coast
8217affffffffff,coast
825e4ffffffffff,ocean
825b1ffffffffff,ocean
821477fffffffff,land
823b1ffffffffff,ocean
8248affffffffff,land
823787fffffffff,ocean
82b71ffffffffff,ocean
82f0affffffffff,land
827b47fffffffff,ocean
823f0ffffffffff,coast
82bb2ffffffffff,coast
8200f7fffffffff,coast
82d71ffffffffff,ocean
826d87fffffffff,ocean
820d17fffffffff,ocean
825337fffffffff,land
82ba47fffffffff,ocean
82b0effffffffff,ocean
829c77fffffffff,coast
825737fffffffff,ocean
82cec7fffffffff,ocean
82f0a7fffffffff,land
824d0ffffffffff,ocean
82e667fffffffff,ocean
829db7fffffffff,ocean
82204ffffffffff,land
82bfb7fffffffff,ocean
82805ffffffffff,ocean
821b2ffffffffff,ocean
82bc97fffffffff,ocean
825627fffffffff,ocean
828eeffffffffff,ocean
82af4ffffffffff,ocean
82bf9ffffffffff,ocean
822ceffffffffff,coast
823eb7fffffffff,land
82ce97fffffffff,land
826847fffffffff,coast
828047fffffffff,coast
82a747fffffffff,ocean
823477fffffffff,ocean
82104ffffffffff,land
82bc37fffffffff,ocean
82e1a7fffffffff,ocean
82d097fffffffff,ocean
824cdffffffffff,ocean
827d0ffffffffff,ocean
82af47fffffffff,ocean
826117fffffffff,coast
82cef7fffffffff,ocean
822537fffffffff,land
8202cffffffffff,coast
82b217fffffffff,ocean
825327fffffffff,land
825b5ffffffffff,ocean
824ee7fffffffff,ocean
82d2a7fffffffff,ocean
82ba8ffffffffff,ocean
82e377fffffffff,ocean
82f29ffffffffff,land
821527fffffffff,land
825a0ffffffffff,ocean
82ae67fffffffff,ocean
820d37fffffffff,ocean
823eaffffffffff,land
828eaffffffffff,ocean
82b62ffffffffff,ocean
82e42ffffffffff,ocean
82f0dffffffffff,land
822c97fffffffff,coast
829747fffffffff,land
826d67fffffffff,coast
8266a7fffffffff,coast
82cd27fffffffff,ocean
82aaeffffffffff,ocean
82ca9ffffffffff,ocean
82018ffffffffff,coast
82bb47fffffffff,ocean
828457fffffffff,ocean
82aeb7fffffffff,ocean
82eab7fffffffff,coast
820b5ffffffffff,coast
82dc27fffffffff,ocean
82c0a7fffffffff,ocean
82411ffffffffff,coast
820537fffffffff,coast
82ced7fffffffff,ocean
82831ffffffffff,coast
82de9ffffffffff,ocean
82438ffffffffff,coast
82a317fffffffff,coast
82d9b7fffffffff,ocean
826227fffffffff,ocean
8248dffffffffff,land
82531ffffffffff,land
82545ffffffffff,land
82d6cffffffffff,ocean
82cadffffffffff,ocean
82de27fffffffff,ocean
82df37fffffffff,coast
82e91ffffffffff,ocean
826b8ffffffffff,land
82ba2ffffffffff,ocean
8229affffffffff,coast
82b6b7fffffffff,ocean
824177fffffffff,coast
82215ffffffffff,land
8255b7fffffffff,ocean
827c1ffffffffff,ocean
82615ffffffffff,ocean
8203affffffffff,ocean
82580ffffffffff,land
829d67fffffffff,land
82256ffffffffff,land
82aee7fffffffff,ocean
82cb0ffffffffff,ocean
82f227fffffffff,coast
82309ffffffffff,coast
82c06ffffffffff,ocean
821907fffffffff,coast
82a98ffffffffff,ocean
829677fffffffff,land
82ebaffffffffff,ocean
8274c7fffffffff,ocean
82c457fffffffff,ocean
82c82ffffffffff,ocean
822c27fffffffff,coast
82a377fffffffff,coast
82e4effffffffff,ocean
82a447fffffffff,ocean
8267a7fffffffff,ocean
82592ffffffffff,land
820097fffffffff,coast
82e94ffffffffff,ocean
828157fffffffff,land
8204b7fffffffff,land
827ef7fffffffff,ocean
826877fffffffff,coast
823daffffffffff,land
82d157fffffffff,ocean
828927fffffffff,ocean
822bb7fffffffff,land
822d2ffffffffff,coast
82c4b7fffffffff,ocean
820567fffffffff,ocean
82ad87fffffffff,land
82c0e7fffffffff,ocean
824edffffffffff,ocean
8248c7fffffffff,land
82719ffffffffff,ocean
825c27fffffffff,ocean
8214affffffffff,land
829f6ffffffffff,ocean
829d6ffffffffff,land
82df6ffffffffff,coast
82249ffffffffff,land
822897fffffffff,land
820127fffffffff,coast
82f00ffffffffff,land
82e2cffffffffff,ocean
82f12ffffffffff,land
82e297fffffffff,ocean
821337fffffffff,land
8207a7fffffffff,coast
825557fffffffff,land
827f8ffffffffff,ocean
82dfb7fffffffff,ocean
82f11ffffffffff,land
827087fffffffff,ocean
82b227fffffffff,coast
8294d7fffffffff,land
8254dffffffffff,ocean
8236effffffffff,ocean
826b1ffffffffff,land
829ee7fffffffff,ocean
82d287fffffffff,ocean
82a9affffffffff,ocean
829827fffffffff,ocean
823e67fffffffff,coast
82a2a7fffffffff,coast
8226dffffffffff,land
82bf67fffffffff,ocean
820897fffffffff,coast
82ee47fffffffff,ocean
824f27fffffffff,ocean
822617fffffffff,land
8228effffffffff,ocean
82e857fffffffff,ocean
821317fffffffff,land
82a777fffffffff,ocean
8264e7fffffffff,coast
82a097fffffffff,ocean
822ce7fffffffff,coast
824917fffffffff,ocean
8203b7fffffffff,ocean
8283a7fffffffff,land
82622ffffffffff,ocean
825217fffffffff,coast
827377fffffffff,ocean
828d8ffffffffff,coast
82d0e7fffffffff,ocean
82716ffffffffff,ocean
826007fffffffff,coast
8252cffffffffff,coast
82952ffffffffff,coast
824b2ffffffffff,ocean
82b567fffffffff,ocean
82965ffffffffff,land
82c767fffffffff,ocean
822a47fffffffff,ocean
829177fffffffff,ocean
82349ffffffffff,ocean
8238b7fffffffff,land
82c737fffffffff,ocean
82360ffffffffff,ocean
82188ffffffffff,ocean
82d177fffffffff,ocean
820f17fffffffff,coast
82f207fffffffff,coast
82854ffffffffff,ocean
825d1ffffffffff,ocean
829957fffffffff,ocean
82bc2ffffffffff,ocean
82041ffffffffff,coast
824a2ffffffffff,ocean
82eb17fffffffff,ocean
82441ffffffffff,coast
82056ffffffffff,coast
822b37fffffffff,coast
8284b7fffffffff,ocean
823717fffffffff,ocean
82910ffffffffff,ocean
82a2dffffffffff,ocean
82790ffffffffff,ocean
828877fffffffff,ocean
8250effffffffff,ocean
827a97fffffffff,coast
82044ffffffffff,ocean
826ca7fffffffff,ocean
82350ffffffffff,ocean
82ae5ffffffffff,ocean
825d97fffffffff,ocean
82a08ffffffffff,ocean
82a11ffffffffff,ocean
828527fffffffff,ocean
8226affffffffff,land
82a4cffffffffff,ocean
82a127fffffffff,ocean
82d427fffffffff,ocean
8286cffffffffff,ocean
82798ffffffffff,ocean
82345ffffffffff,ocean
826cf7fffffffff,ocean
8220dffffffffff,land
8284a7fffffffff,ocean
82f19ffffffffff,land
826c97fffffffff,ocean
828817fffffffff,ocean
828a77fffffffff,land
823907fffffffff,land
825f47fffffffff,coast
82c987fffffffff,coast
82d237fffffffff,ocean
823ca7fffffffff,land
82f317fffffffff,coast
82956ffffffffff,coast
82de2ffffffffff,ocean
820f87fffffffff,coast
820c4ffffffffff,ocean
82e44ffffffffff,ocean
829e67fffffffff,ocean
821f67fffffffff,coast
82b6c7fffffffff,ocean
82eb9ffffffffff,ocean
82741ffffffffff,ocean
822727fffffffff,land
82449ffffffffff,ocean
82400ffffffffff,land
8217b7fffffffff,coast
822f37fffffffff,ocean
82d62ffffffffff,ocean
82da4ffffffffff,ocean
82780ffffffffff,ocean
8277a7fffffffff,ocean
827157fffffffff,ocean
82199ffffffffff,ocean
82e2effffffffff,ocean
82d227fffffffff,ocean
8216e7fffffffff,ocean
8290f7fffffffff,ocean
82cee7fffffffff,ocean
82ca07fffffffff,ocean
82a6dffffffffff,ocean
82dccffffffffff,ocean
82e987fffffffff,coast
82591ffffffffff,land
82140ffffffffff,land
82972ffffffffff,land
82d957fffffffff,ocean
82b917fffffffff,coast
82b877fffffffff,land
82b65ffffffffff,ocean
822447fffffffff,land
822b57fffffffff,ocean
823f9ffffffffff,land
829eb7fffffffff,ocean
828357fffffffff,ocean
82dc0ffffffffff,ocean
8244e7fffffffff,coast
828417fffffffff,ocean
82ab77fffffffff,ocean
821eaffffffffff,coast
82302ffffffffff,coast
820a67fffffffff,coast
824067fffffffff,land
823d0ffffffffff,land
8277b7fffffffff,ocean
82a2cffffffffff,ocean
82a0affffffffff,ocean
822047fffffffff,land
822aaffffffffff,coast
82bcb7fffffffff,ocean
82e8a7fffffffff,ocean
829cc7fffffffff,coast
828867fffffffff,ocean
82c287fffffffff,ocean
82004ffffffffff,coast
82a2affffffffff,coast
82415ffffffffff,land
828847fffffffff,ocean
82884ffffffffff,ocean
825c2ffffffffff,ocean
821457fffffffff,coast
82d567fffffffff,ocean
82a25ffffffffff,ocean
82942ffffffffff,coast
82c2d7fffffffff,coast
82742ffffffffff,ocean
82c64ffffffffff,ocean
82bd67fffffffff,ocean
820b07fffffffff,land
828ab7fffffffff,land
82e507fffffffff,ocean
824907fffffffff,ocean
827d37fffffffff,ocean
82c097fffffffff,ocean
8246cffffffffff,ocean
82e75ffffffffff,ocean
827d8ffffffffff,ocean
823d37fffffffff,land
823e47fffffffff,coast
821fa7fffffffff,land
82c027fffffffff,ocean
829a8ffffffffff,ocean
823167fffffffff,land
829a97fffffffff,ocean
82e947fffffffff,ocean
8262c7fffffffff,ocean
822a5ffffffffff,ocean
