dataset_id,Data providers,Total Occurrences,PrivateFlag,PercProvPRIVATE,PercProvPUBLIC,PercProvUNKNOWNPUBLIC,PercProvOUTLIER,WeightedPercOccurrencesPrivate
5f6740b4-817c-402e-a0d9-758e6a8b7ff6,"['Aqua y terra', 'C&amp;C consultores ambientales', 'COTEMA', 'Puerto Bahía Colombia de Urabá S.A']",1576,True,75.0,25.0,0.0,0.0,1182.0
a68e2a15-2ab2-474e-acc3-e7fbc895711c,"['Duke University', 'KYMA sea conservation &amp; research', 'The Agreement on the Conservation of Cetaceans of the Black Sea, Mediterranean Sea and contiguous Atlantic Area (ACCOBAMS) and Whale and Dolphin Conservation Society (WDCS)']",263,False,0.0,100.0,0.0,0.0,0.0
1817ebad-8a31-4152-861a-f17ce5374e6f,"['Duke University', 'Happywhale']",3,False,0.0,100.0,0.0,0.0,0.0
45eb51c1-053a-4306-83c8-c837b6526c13,['Fisheries and Oceans Canada – Bedford Institute of Oceanography'],320,False,0.0,100.0,0.0,0.0,0.0
742abe79-3fbd-49a1-b5f5-f0934ec6801b,"['Duke University', 'Happywhale']",2,False,0.0,100.0,0.0,0.0,0.0
3d80aefa-fa7e-4c9c-a778-4d8d3c65a8eb,"['Duke University', 'Happywhale']",2,False,0.0,100.0,0.0,0.0,0.0
e34fbc6f-3fa2-42f0-be10-5aa4512127c7,"['Duke University', 'Happywhale']",2,False,0.0,100.0,0.0,0.0,0.0
b06015c1-d2fe-4a20-8325-1a500857bec7,"['Duke University', 'Happywhale']",28,False,0.0,100.0,0.0,0.0,0.0
2cf7b061-8bf1-4556-a8c2-e45727efc6ac,"['Duke University', 'Happywhale']",5,False,0.0,100.0,0.0,0.0,0.0
b1ac0dba-fef5-43e0-836e-05b9c8497b49,"['Duke University', 'Happywhale']",6,False,0.0,100.0,0.0,0.0,0.0
3c59e9b2-15d1-4b40-80b0-f08d8293d551,"['Duke University', 'Happywhale']",7,False,0.0,100.0,0.0,0.0,0.0
9fa01f07-d884-4c07-918c-93755657b8d3,"['Duke University', 'Happywhale']",28,False,0.0,100.0,0.0,0.0,0.0
dd373824-81ef-4085-b562-aa674a975c85,"['Duke University', 'Happywhale']",24,False,0.0,100.0,0.0,0.0,0.0
53b8980c-63dd-43ea-9a62-bbbff5ee9606,"['Duke University', 'Happywhale']",2,False,0.0,100.0,0.0,0.0,0.0
cd1898cc-29aa-4b85-8b89-ed81900fe166,"['Duke University', 'Happywhale']",4,False,0.0,100.0,0.0,0.0,0.0
e7ecd40e-311c-4cc6-800a-235dc8e31fd1,"['Duke University', 'Happywhale']",43,False,0.0,100.0,0.0,0.0,0.0
85a55afa-8057-4019-8b43-93ed063d66be,"['Duke University', 'Happywhale']",125,False,0.0,100.0,0.0,0.0,0.0
47c5a2bd-a37b-4b39-80aa-0bf79d198479,"['Duke University', 'Happywhale']",2,False,0.0,100.0,0.0,0.0,0.0
87b7f1a0-d11b-41ef-9d8f-73c358ad5256,"['Duke University', 'Happywhale']",2,False,0.0,100.0,0.0,0.0,0.0
956be403-42a2-4f7e-a27b-3de891216503,"['Duke University', 'Happywhale']",6,False,0.0,100.0,0.0,0.0,0.0
45b4833e-f40a-4c99-94a9-7bf707ae6ba9,"['Duke University', 'Happywhale']",3,False,0.0,100.0,0.0,0.0,0.0
6dead477-5f55-4eeb-b5f4-f37c1da1b941,"['Duke University', 'Happywhale']",3,False,0.0,100.0,0.0,0.0,0.0
6b28884d-c25e-4c0f-acf9-28eb17804ec5,"['Duke University', 'Happywhale']",8,False,0.0,100.0,0.0,0.0,0.0
ba04a697-44fb-4464-916c-93383998ced9,"['Duke University', 'Happywhale']",22,False,0.0,100.0,0.0,0.0,0.0
885a485e-cfde-40a4-bd0c-1bb7d0e94478,"['Duke University', 'Happywhale']",16,False,0.0,100.0,0.0,0.0,0.0
7e99e83d-c34b-442f-877b-bc946faf247b,"['Duke University', 'Happywhale']",18,False,0.0,100.0,0.0,0.0,0.0
34eff95c-ac71-46c1-9305-c602512dd549,"['Duke University', 'Happywhale']",224,False,0.0,100.0,0.0,0.0,0.0
d323a6ad-9b69-425e-8c58-a1781efdd00a,"['Duke University', 'Happywhale']",38,False,0.0,100.0,0.0,0.0,0.0
c63eaeb7-9514-4cf7-9e87-d97197278dbb,"['Duke University', 'Happywhale']",16,False,0.0,100.0,0.0,0.0,0.0
4d6e4425-ca39-42b6-ad14-0a928c30e8f4,"['Duke University', 'Happywhale']",31,False,0.0,100.0,0.0,0.0,0.0
4d51c94e-8c7e-4a75-bda7-ec38912cd52d,"['Duke University', 'Happywhale']",890,False,0.0,100.0,0.0,0.0,0.0
080b9486-a998-4372-97e5-1f58cb65b49d,"['Duke University', 'Happywhale']",32,False,0.0,100.0,0.0,0.0,0.0
2d82f586-08b8-4c51-9444-fe307bc293e9,"['Duke University', 'Happywhale']",27,False,0.0,100.0,0.0,0.0,0.0
c8789d12-1285-4e6c-9e5d-fedbed348e36,"['Duke University', 'Happywhale']",31,False,0.0,100.0,0.0,0.0,0.0
dee16491-77f0-4987-8f80-513e4505b14b,"['Duke University', 'Happywhale']",18,False,0.0,100.0,0.0,0.0,0.0
a4b730f1-5434-4c62-a1cb-466e4b95b647,"['Duke University', 'Happywhale']",22,False,0.0,100.0,0.0,0.0,0.0
4c9552cc-9ba5-4d41-be19-3e397f8bacf1,"['Duke University', 'Happywhale']",210,False,0.0,100.0,0.0,0.0,0.0
03dc7648-e915-45b8-ab5b-b3a16a3664b4,"['Duke University', 'Happywhale']",57,False,0.0,100.0,0.0,0.0,0.0
d38666d1-f138-4533-b8e3-02505f1f1d9b,"['Duke University', 'Happywhale']",801,False,0.0,100.0,0.0,0.0,0.0
80aaa9c9-9a7e-4e08-9f92-2b01fedf643b,"['Duke University', 'Happywhale']",207,False,0.0,100.0,0.0,0.0,0.0
2fd01957-420e-4f45-8c4b-3bd6ac60f1c4,"['Duke University', 'Happywhale']",41,False,0.0,100.0,0.0,0.0,0.0
6df306da-31d0-47f5-bb1b-4b084d03d7f1,"['Duke University', 'Happywhale']",1271,False,0.0,100.0,0.0,0.0,0.0
988cd984-9166-44ab-83fb-e98ffe5735ef,"['Duke University', 'Happywhale']",135,False,0.0,100.0,0.0,0.0,0.0
06753239-bb3d-4bfd-8ab4-4ad4f629fd6d,"['Duke University', 'Happywhale']",170,False,0.0,100.0,0.0,0.0,0.0
f18fd24a-a6e1-447c-98c6-98116ab69d07,"['Duke University', 'Happywhale']",61,False,0.0,100.0,0.0,0.0,0.0
ad98bfa6-84b1-4d2d-8acc-46ffec4bf818,"['Duke University', 'Happywhale']",132,False,0.0,100.0,0.0,0.0,0.0
44b8bce1-0b7e-4f56-bfcf-70c4705b0165,"['Duke University', 'Happywhale']",47,False,0.0,100.0,0.0,0.0,0.0
19b17aa1-83e9-4121-bd1b-e21966acdd0d,"['Duke University', 'Happywhale']",513,False,0.0,100.0,0.0,0.0,0.0
ca49c384-f0d2-4315-a894-4d54c137efd5,"['Duke University', 'Happywhale']",19,False,0.0,100.0,0.0,0.0,0.0
91f57b7c-10ad-44c4-9fc8-3fa80e8dbf26,"['Duke University', 'Happywhale']",1,False,0.0,100.0,0.0,0.0,0.0
15fb6ea8-a98e-4379-8093-ad843daaf6bc,"['Duke University', 'Happywhale']",1,False,0.0,100.0,0.0,0.0,0.0
99214340-d443-46de-b037-c34082d55e26,"['Duke University', 'Happywhale']",1,False,0.0,100.0,0.0,0.0,0.0
7d11d7b9-c98e-4e18-b697-617b054ad5ce,"['Duke University', 'Happywhale']",2,False,0.0,100.0,0.0,0.0,0.0
29183497-67b7-464b-a62c-5caaee5095f5,"['Duke University', 'Happywhale']",6,False,0.0,100.0,0.0,0.0,0.0
2f1e09ed-1096-411e-89f4-adca973ffd2f,"['Duke University', 'Happywhale']",4,False,0.0,100.0,0.0,0.0,0.0
26443a25-30e4-4189-a8e3-b982fd14a866,"['Duke University', 'Happywhale']",5,False,0.0,100.0,0.0,0.0,0.0
8d014833-75bb-49e5-9700-2cf7104f30f6,"['Duke University', 'Happywhale']",24,False,0.0,100.0,0.0,0.0,0.0
e31406eb-bf39-4993-a9a1-51cfe39da569,"['Duke University', 'Happywhale']",2823,False,0.0,100.0,0.0,0.0,0.0
48f23946-6f54-4c4f-9cd5-5444712e1435,"['Duke University', 'Happywhale']",27,False,0.0,100.0,0.0,0.0,0.0
5eaa3423-1bbb-4472-805a-aeb3bb81b7d0,"['Duke University', 'Happywhale']",35,False,0.0,100.0,0.0,0.0,0.0
19accb3e-6b35-4155-94f6-d914c231cf62,"['Duke University', 'Happywhale']",28,False,0.0,100.0,0.0,0.0,0.0
a464ff9a-9756-49fd-b1ab-e7a7b9c5b95d,"['Duke University', 'Happywhale']",51,False,0.0,100.0,0.0,0.0,0.0
82aa35e0-038f-4737-9db3-eec80d47a978,"['Duke University', 'Happywhale']",12,False,0.0,100.0,0.0,0.0,0.0
e1a3fcee-02f7-40d6-a22f-d93cdd52413d,"['Duke University', 'Happywhale']",75,False,0.0,100.0,0.0,0.0,0.0
79eafe98-b6b8-48c7-9d10-1204044ad239,"['Duke University', 'Happywhale']",174,False,0.0,100.0,0.0,0.0,0.0
a33f249d-83ed-4e6e-84e3-d3144153b3de,"['Duke University', 'Happywhale']",6185,False,0.0,100.0,0.0,0.0,0.0
b39b3b38-6dc2-400f-b177-51b98035bcb4,"['Duke University', 'Happywhale']",32,False,0.0,100.0,0.0,0.0,0.0
decbd260-0bf6-439b-b25f-c36bb5ddb373,"['Duke University', 'Happywhale']",36,False,0.0,100.0,0.0,0.0,0.0
585629ea-cc63-4f8a-98a5-d7b6f7025adb,"['Duke University', 'Happywhale']",804,False,0.0,100.0,0.0,0.0,0.0
34b300d6-4a7c-47da-a830-58688183431b,"['Duke University', 'Happywhale']",104,False,0.0,100.0,0.0,0.0,0.0
fefcba02-f27c-448e-8038-e4a5e0bd51d7,"['Duke University', 'Happywhale']",3028,False,0.0,100.0,0.0,0.0,0.0
a861b8c9-2113-4410-91f1-05657656dcc9,"['Duke University', 'Happywhale']",131,False,0.0,100.0,0.0,0.0,0.0
85d91292-efc6-4938-b6d4-17131ed4388f,"['Duke University', 'Happywhale']",20520,False,0.0,100.0,0.0,0.0,0.0
89e3bd22-3872-43f9-866d-20be987b5519,"['Duke University', 'Happywhale']",13274,False,0.0,100.0,0.0,0.0,0.0
6e081641-0bf2-4f4e-9d47-8a6aed8b4dfe,"['Duke University', 'Happywhale']",8121,False,0.0,100.0,0.0,0.0,0.0
fcbb56da-7237-43a3-831e-d45571496c68,"['Duke University', 'Happywhale']",153724,False,0.0,100.0,0.0,0.0,0.0
03d772f9-454f-42f6-91df-4d1faf2ead16,"['Duke University', 'Happywhale']",13676,False,0.0,100.0,0.0,0.0,0.0
cda34487-9dd8-4868-9043-8169088401ab,"['Duke University', 'Happywhale']",11253,False,0.0,100.0,0.0,0.0,0.0
c3aa6b9f-8409-4374-a481-5544222d8166,"['Duke University', 'Happywhale']",5661,False,0.0,100.0,0.0,0.0,0.0
da433612-e245-4736-8d9a-ddc00693eb1f,"['Duke University', 'Happywhale']",16,False,0.0,100.0,0.0,0.0,0.0
22425148-d988-46b0-90d7-c47fdb290dd6,"['Duke University', 'Happywhale']",45,False,0.0,100.0,0.0,0.0,0.0
64bf2c2d-0e8c-484d-90ce-81b3a79c1f3b,"['Duke University', 'Happywhale']",849,False,0.0,100.0,0.0,0.0,0.0
ff91dc4c-b725-45d9-9bfa-f046b36a9f0b,"['Duke University', 'Happywhale']",71,False,0.0,100.0,0.0,0.0,0.0
6cc0a703-f124-4170-9bef-f59e07c0a85c,"['Duke University', 'Happywhale']",14,False,0.0,100.0,0.0,0.0,0.0
0ac3ee87-ce2a-47b6-bd08-2909f54705e5,"['Duke University', 'Happywhale']",463,False,0.0,100.0,0.0,0.0,0.0
4fed3d0e-0669-4162-be64-0f3f72e51316,"['Duke University', 'Happywhale']",37,False,0.0,100.0,0.0,0.0,0.0
86ffd903-47fc-435e-a42e-f3aec79c2d03,"['Duke University', 'Happywhale']",171,False,0.0,100.0,0.0,0.0,0.0
dccf6113-e39c-4ac4-b35f-e0e84316c491,"['Duke University', 'Happywhale']",1,False,0.0,100.0,0.0,0.0,0.0
4e64116e-a1a6-4868-ae38-667693cba26c,"['Duke University', 'Happywhale']",3,False,0.0,100.0,0.0,0.0,0.0
ea340301-ce77-46bb-a0e2-8121e97ac784,"['Duke University', 'Happywhale']",1,False,0.0,100.0,0.0,0.0,0.0
5fdc6f5e-6488-4ef0-977b-23bee8d8d2c3,"['Duke University', 'Happywhale']",8,False,0.0,100.0,0.0,0.0,0.0
d45a9a91-0786-45d8-a601-168726ede9ae,"['Duke University', 'Happywhale']",32,False,0.0,100.0,0.0,0.0,0.0
a223aef7-324a-4729-8dc9-6a9b2b578e08,"['Duke University', 'Happywhale']",2,False,0.0,100.0,0.0,0.0,0.0
b9a8255c-f6db-4178-b170-eacb1b140354,"['Duke University', 'Happywhale']",16,False,0.0,100.0,0.0,0.0,0.0
c5671a74-f8ba-4dfb-a758-1adbbdf6034a,"['Duke University', 'Happywhale']",11,False,0.0,100.0,0.0,0.0,0.0
fe29eaa5-9dd4-4eb2-be36-6c567f5c691c,"['Duke University', 'Happywhale']",17,False,0.0,100.0,0.0,0.0,0.0
761fb84e-e185-45b6-a4f3-6a6c5dad8afe,"['Duke University', 'Happywhale']",65,False,0.0,100.0,0.0,0.0,0.0
9f81074c-9d95-4f6e-9a4b-6da84b6c80a7,"['Duke University', 'Happywhale']",12,False,0.0,100.0,0.0,0.0,0.0
960af095-723d-45a1-ba60-8b2c69550aa4,"['Duke University', 'Happywhale']",3,False,0.0,100.0,0.0,0.0,0.0
32948ff1-6f03-4877-b813-4919829bcca3,"['Duke University', 'Happywhale']",9,False,0.0,100.0,0.0,0.0,0.0
fecb2219-2c7d-4324-8a13-e95fe552a743,"['Duke University', 'Happywhale']",24,False,0.0,100.0,0.0,0.0,0.0
b3e395c5-6a2b-4f81-af8f-05391afb0d26,"['Duke University', 'Happywhale']",45,False,0.0,100.0,0.0,0.0,0.0
